1.683719,0.889397,0.557700,0.187124,0.098910,0.036621,0.019586,0.102459,-0.032718,-0.041144,-0.015273,-0.039577
1.318803,0.752471,0.486844,0.290958,0.154523,0.046717,-0.005999,-0.064038,-0.104223,-0.078769,-0.042998,-0.070464
1.926043,0.864756,0.577600,0.243911,0.111386,-0.048567,-0.016875,0.107554,-0.127035,-0.145556,-0.023424,-0.042141
1.187419,0.586253,0.328214,0.183921,0.074773,0.045324,0.021656,-0.001658,-0.032235,-0.078450,-0.079520,-0.064628
1.740995,0.927867,0.558836,0.314240,0.195217,-0.070097,-0.035314,0.048882,-0.117351,-0.165727,-0.055852,-0.069619
1.239586,0.629199,0.392199,0.202838,0.133040,0.022712,-0.019126,-0.015624,-0.086627,-0.040045,-0.030950,-0.061665
1.889802,1.023708,0.623224,0.207780,0.296825,-0.189717,-0.039946,0.130412,-0.182821,-0.148106,-0.100017,-0.090396
1.864222,1.063371,0.540510,0.103370,0.130437,-0.152920,0.026033,0.099248,-0.178248,-0.089866,-0.096388,-0.103947
1.298160,0.628794,0.337308,0.130992,0.009227,-0.017637,-0.032393,-0.012970,-0.059234,-0.093039,-0.043436,-0.070607
1.760774,0.943314,0.537626,0.117648,0.053902,-0.091523,-0.047634,-0.019608,-0.177512,-0.115458,-0.066482,-0.077812
2.441401,1.104508,0.456410,-0.145628,0.317179,-0.493126,0.040902,0.263834,-0.218674,-0.135683,-0.364234,-0.109815
1.316672,0.590288,0.245960,0.026810,-0.033332,-0.056851,-0.054400,-0.037650,-0.092881,-0.101775,-0.093660,-0.071557
1.597382,0.809809,0.278493,0.073590,-0.024783,-0.134652,-0.087347,-0.115544,-0.145347,-0.129127,-0.012137,-0.016697
1.855191,0.894147,0.265253,-0.086951,-0.066196,-0.215828,-0.042290,0.035063,-0.138011,-0.152978,-0.055069,-0.053037
1.405921,0.680929,0.271132,0.014400,-0.085207,-0.136043,-0.070710,-0.079187,-0.116093,-0.093764,-0.022728,-0.048647
1.879643,0.911315,0.347400,-0.000050,-0.088337,-0.182057,-0.067904,-0.041302,-0.156599,-0.191846,0.009468,-0.005825
